// copyright,Licensed under a Creative Commons Attribution-NonCommercial 3.0 License https://creativecommons.org/licenses/by-nc/3.0/. Free for non-commercial use. Contact halvin@clashfinder.com for other uses.
// modified,2024-06-04 10:46
// name,Glastonbury Festival 2024
// id,g2024
// url,https://clashfinder.com/s/g2024/
// printAdvisory,5
// timezone,Europe/London
// tzOffset,3600
// tzNote,Start and end times are given in the timezone of the event. Offset by -tzOffset for UTC.
// userID,154l5x.rd
// Start,End,Name,Location,Short Name,Extra Data
2024/06/27 16:00,2024/06/27 18:00,Queer House Party,The Rum Shack,queerh(1)
2024/06/29 02:30,2024/06/29 04:00,Rinse 30th Anniversary - DJ Ez B2B Sammy Virji,The Temple,rinse35(1)
2024/06/28 00:15,2024/06/28 01:00,Oppidan,Blind Tiger,oppida(1)
2024/07/01 00:00,2024/07/01 01:00,DJ Ez,Nowhere,djez(1)
2024/06/29 05:00,2024/06/29 06:00,Nightmares On Wax (DJ Set),Platform 23,nightm(1)
2024/06/27 15:00,2024/06/27 15:45,Lambrini Girls,Greenpeace,lambri(1)
2024/06/27 15:45,2024/06/27 16:55,Porij (DJ Set),Greenpeace,porijd(1)
2024/06/28 01:30,2024/06/28 03:00,Yung Singh,Greenpeace,yungsi1(1)
2024/06/29 14:45,2024/06/29 15:30,Liz Lawrence,Greenpeace,lizlaw(1)
2024/06/27 15:00,2024/06/27 15:45,BBC Natural History Unit,Laboratory Stage,bbcnat(1)
2024/06/30 00:15,2024/06/30 02:00,DJs James Acaster & Nish Kumar,Cabaret,djsjam(1)
2024/06/30 00:15,2024/06/30 01:15,Oh My God! It's the Church,Sensation Seekers Stage,ohmygo1(2)
2024/06/28 18:30,2024/06/28 20:45,"All of Us Strangers + Q&A  with Paul Mescal, Andrew Scott  & Director Andrew Haigh 15",Pilton Palais Cinema,allofu1(1)
2024/06/29 13:00,2024/06/29 15:00,Shaun of the Dead 20th Anniversary + Intro  with Simon Pegg & Edgar Wright 15,Pilton Palais Cinema,shauno1(1)
2024/06/28 19:30,2024/06/28 21:00,Bonobo [DJ],Levels,bonobo(1)
2024/06/29 00:00,2024/06/29 01:30,Chalri XCX Presents Partygirl,Levels,chalri(1)
